Eugene Feenberg,Fa-Yueh Wu,
Howard Raiffa,Gordon M. Kaufman,American
Howard Raiffa,Robert B. Wilson,American
Erich Kamke,Wolfgang Walter,German
Erich Kamke,Karl Longin Zeller,German
Erich Kamke,Harro Heuser,German
Richard Askey,James A. Wilson,American
Eugenio Calabi,Xiu-Xiong Chen,United States
Jeff Cheeger,Christina Sormani,American
Hillel Furstenberg,Alexander Lubotzky,American
Hillel Furstenberg,Vitaly Bergelson,American
Hillel Furstenberg,Shahar Mozes,American
Hillel Furstenberg,Yuval Peres,American
Hillel Furstenberg,Tamar Ziegler,American
Israel Halperin,George Elliott,
Samuel Karlin,Christopher Burge,Poland
Samuel Karlin,Thomas Liggett,Poland
Samuel Karlin,Charles A. Micchelli,Poland
Samuel Karlin,John W. Pratt,Poland
Samuel Karlin,Stephen M. Samuels,Poland
Samuel Karlin,Charles Joel Stone,Poland
Paco Lagerstrom,Julian Cole,
Paco Lagerstrom,Athanassios S. Fokas,
Paco Lagerstrom,Milton Van Dyke,
Paco Lagerstrom,Saul Kaplun ,
Herbert Scarf,Duncan K. Foley,
Herbert Scarf,Donald Iglehart,
Herbert Scarf,Timothy Kehoe,
Herbert Scarf,Rolf Mantel,
Herbert Scarf,Frank Proschan,
Herbert Scarf,John Shoven,
Herbert Scarf,Ludo Van der Heyden,
Herbert Scarf,Menahem Yaari,
Bernard Russell Gelbaum,Mark Mahowald,
Bernard Russell Gelbaum,Robert Zink,
Issai Schur,Richard Brauer,
Issai Schur,Eberhard Hopf,
Issai Schur,Robert Frucht,
Issai Schur,Maximilian Herzberger,
Issai Schur,Bernhard Neumann,
Issai Schur,Rose Peltesohn,
Issai Schur,Heinz Prüfer,
Issai Schur,Richard Rado,
Issai Schur,Isaac Jacob Schoenberg,
Issai Schur,Arnold Scholz,
Issai Schur,Wilhelm Specht,
Issai Schur,Wolfgang Hahn,
Issai Schur,Richard Dagobert Brauer,
R. H. Bruck,George I. Glauberman,
R. H. Bruck,Michael G. Aschbacher,
R. H. Bruck,Sue Whitesides,
Peter Landrock,Ivan Damgård,Danish
Alfred Klose,Lothar Collatz,
Beno Eckmann,Alfred Aeppli,
Beno Eckmann,Erwin Bolthausen,
Beno Eckmann,Alfred Frölicher,
Beno Eckmann,Hans Grauert,
Beno Eckmann,Peter J. Huber,
